q,30Ｃ,60 C,80 C,100C
0.22941,0.002541,0.0028661,0.0028599,0.0032462
0.22983,0.003124,0.0027919,0.0029019,0.0041583
0.23025,0.003137,0.0024674,0.0034722,0.0036189
0.23067,0.003337,0.0037215,0.0033455,0.0023265
0.23109,0.002653,0.0029352,0.0032322,0.0031015
0.23151,0.003378,0.0023845,0.0021351,0.0035159
0.23192,0.002155,0.0029456,0.0042802,0.0036356
0.23234,0.003221,0.0023457,0.0020496,0.0029295
0.23276,0.002825,0.0026426,0.0044363,0.0030848
0.23318,0.00259,0.0035022,0.0029122,0.0040864
0.2336,0.002589,0.0022085,0.0030183,0.0038189
0.23402,0.003772,0.0038302,0.0026373,0.0058235
0.23443,0.003436,0.003359,0.0035095,0.003953
0.23485,0.003769,0.0025762,0.0025367,0.0046561
0.23527,0.002561,0.004178,0.0038065,0.003672
0.23569,0.001802,0.0032701,0.0034881,0.0032227
0.23611,0.00322,0.0031915,0.0030469,0.0040909
0.23653,0.003782,0.0045992,0.003195,0.0029295
0.23694,0.002005,0.0050799,0.0028837,0.0032348
0.23736,0.002775,0.0044352,0.0037851,0.002503
0.23778,0.003733,0.0034988,0.0023387,0.0041939
0.2382,0.003789,0.0024148,0.0032996,0.0041985
0.23862,0.001776,0.0017502,0.0043285,0.0044523
0.23904,0.003567,0.0031596,0.0040711,0.0043917
0.23945,0.00159,0.0042574,0.0035277,0.0039788
0.23987,0.003404,0.0035989,0.0025185,0.0032197
0.24029,0.003433,0.0025192,0.0031459,0.0034265
0.24071,0.002596,0.0021774,0.0034453,0.0028886
0.24113,0.003469,0.0019055,0.0041622,0.0022894
0.24154,0.003419,0.0039718,0.0017224,0.0035341
0.24196,0.003807,0.0024035,0.0032798,0.0026341
0.24238,0.002529,0.0035031,0.0031031,0.0041333
0.2428,0.00124,0.003296,0.0028417,0.003475
0.24322,0.002483,0.0027298,0.0034366,0.0024864
0.24364,0.003361,0.0035696,0.0026453,0.0038621
0.24405,0.00242,0.0029697,0.0030691,0.0023
0.24447,0.003471,0.0033322,0.0026619,0.0029939
0.24489,0.002041,0.0024484,0.0029146,0.0032856
0.24531,0.00189,0.0024389,0.0043555,0.0030909
0.24573,0.003409,0.0028981,0.002608,0.0030742
0.24615,0.003099,0.0028006,0.0021549,0.0040553
0.24656,0.003582,0.0034807,0.0028029,0.0040879
0.24698,0.003429,0.0037655,0.0038952,0.0024955
0.2474,0.00249,0.0041565,0.0024995,0.0042432
0.24782,0.002439,0.0027445,0.0018943,0.0041674
0.24824,0.002013,0.0032002,0.0016678,0.0033674
0.24866,0.001771,0.0031294,0.0029518,0.0032008
0.24907,0.002022,0.0021041,0.0037709,0.0029636
0.24949,0.002827,0.0027971,0.0029526,0.0024492
0.24991,0.002707,0.0020221,0.0029011,0.003
0.25033,0.002058,0.0024596,0.0032322,0.0031712
0.25075,0.002989,0.0041547,0.0024456,0.0033
0.25117,0.003363,0.002325,0.0016551,0.0018333
0.25158,0.002016,0.0032364,0.0027601,0.0033606
0.252,0.003168,0.0022749,0.0017882,0.0036091
0.25242,0.002193,0.0035428,0.002787,0.0034765
0.25284,0.002772,0.0021092,0.0029653,0.0026333
0.25326,0.003005,0.0027945,0.0025122,0.002497
0.25368,0.002868,0.003321,0.0028774,0.0041485
0.25409,0.003009,0.0028661,0.0018389,0.0028773
0.25451,0.003206,0.0030819,0.0031649,0.0028432
0.25493,0.003969,0.0031173,0.0023213,0.0035212
0.25535,0.002049,0.0021222,0.0019965,0.0027583
0.25577,0.003057,0.0037033,0.0040553,0.0028447
0.25618,0.001848,0.0034461,0.0033835,0.0035379
0.2566,0.001893,0.0020963,0.0024496,0.002897
0.25702,0.002508,0.0021878,0.0027498,0.0025424
0.25744,0.003611,0.0024476,0.0016812,0.003522
0.25786,0.001224,0.0021645,0.0031007,0.0015568
0.25828,0.001828,0.0029395,0.0023237,0.002853
0.25869,0.003309,0.0039338,0.0021914,0.0029121
0.25911,0.002662,0.0012953,0.0021716,0.0025712
0.25953,0.003765,0.0028264,0.0026175,0.0031773
0.25995,0.002721,0.001619,0.0020828,0.0040015
0.26037,0.000732,0.001915,0.0019315,0.0033295
0.26079,0.002003,0.0031147,0.0018246,0.0033545
0.2612,0.001495,0.0015931,0.0022294,0.0038508
0.26162,0.002931,0.0015456,0.0024179,0.0026326
0.26204,0.004054,0.0025218,0.0013501,0.003778
0.26246,0.003063,0.0033995,0.0028718,0.0034371
0.26288,0.001702,0.0035204,0.002029,0.0026568
0.26329,0.003165,0.0030474,0.0023807,0.0027424
0.26371,0.002078,0.0031769,0.0035657,0.001728
0.26413,0.001989,0.0023595,0.0029439,0.0026795
0.26455,0.003588,0.0027255,0.0032869,0.0028129
0.26497,0.002624,0.0029395,0.0031292,0.0031985
0.26539,0.003411,0.0028264,0.0022627,0.0025712
0.2658,0.002118,0.0036533,0.0027577,0.0029841
0.26622,0.002489,0.0022042,0.0023807,0.0019811
0.26664,0.00223,0.0023949,0.0027839,0.002575
0.26706,0.002506,0.003756,0.0030778,0.00285
0.26748,0.002009,0.0027211,0.0043713,0.0038371
0.26789,0.002451,0.0015603,0.0018658,0.0026409
0.26831,0.003666,0.0019513,0.0024567,0.0033583
0.26873,0.002907,0.0015163,0.00077027,0.0027
0.26915,0.00119,0.0030888,0.0021795,0.0033114
0.26957,0.003266,0.0033339,0.0025938,0.0025523
0.26999,0.001957,0.0024674,0.0029399,0.0026682
0.2704,0.002783,0.003598,0.0029209,0.0024129
0.27082,0.002264,0.002079,0.0022936,0.0030053
0.27124,0.002698,0.0023751,0.0022223,0.0025492
0.27166,0.002735,0.0024993,0.0032774,0.0018553
0.27208,0.002512,0.0021222,0.0015442,0.0030356
0.27249,0.001301,0.0019004,0.0008986,0.0020523
0.27291,0.003149,0.0012315,0.0014832,0.0024364
0.27333,0.000501,0.001909,0.0023656,0.0016659
0.27375,0.000837,0.001575,0.0016448,0.0022371
0.27417,0.002233,0.0013204,0.0010848,0.0021258
0.27459,0.00244,0.0018443,0.0025027,0.003128
0.275,0.002007,0.0024199,0.0027807,0.0037364
0.27542,0.001929,0.0024778,0.0036259,0.0030348
0.27584,0.001941,0.0029801,0.0023625,0.0019856
0.27626,0.002204,0.0018425,0.0016274,0.0021508
0.27668,0.00255,0.0017951,0.0025106,0.001447
0.27709,0.00195,0.0017614,0.0022936,0.0027606
0.27751,0.001883,0.002016,0.0015394,0.0024538
0.27793,0.001274,0.0014887,0.0023672,0.0024273
0.27835,0.002487,0.0030949,0.001869,0.0030091
0.27877,0.002475,0.0026892,0.0024385,0.0026386
0.27919,0.001649,0.0021153,0.0029439,0.0032235
0.2796,0.002861,0.0026754,0.0021074,0.0014227
0.28002,0.00258,0.0023164,0.0024441,0.0022318
0.28044,0.001322,0.0025554,0.0021399,0.002875
0.28086,0.0019,0.0035091,0.0011909,0.0015758
0.28128,0.002122,0.0021299,0.0028409,0.0034932
0.28169,0.002611,0.0033434,0.0020559,0.0017864
0.28211,0.000887,0.0019651,0.0029217,0.002875
0.28253,0.002383,0.0024053,0.0017589,0.002775
0.28295,0.00158,0.0021886,0.0027981,0.0021689
0.28337,0.001791,0.0028636,0.0007378,0.0027477
0.28378,0.002035,0.0024165,0.0021209,0.001528
0.2842,0.001712,0.0021239,0.0013509,0.0013485
0.28462,0.001682,0.0016078,0.0010055,0.0033288
0.28504,0.002006,0.0028325,0.0030603,0.002425
0.28546,0.002285,0.002363,0.0021898,0.0026879
0.28588,0.001606,0.0015759,0.0025668,0.0025765
0.28629,0.00167,0.0018149,0.0022326,0.0034939
0.28671,0.001406,0.00077836,0.0015545,0.0027538
0.28713,0.00292,0.0023759,0.0023926,0.0024167
0.28755,0.00294,0.0011132,0.0020258,0.0023174
0.28797,0.002416,0.0017347,0.0018579,0.0020045
0.28838,0.001113,0.0024553,0.0025724,0.0021121
0.2888,0.001491,0.0020928,0.0016868,0.0029174
0.28922,0.001428,0.0027419,0.0020424,0.0037008
0.28964,0.002685,0.0025701,0.0016765,0.0024424
0.29006,0.000658,0.0028851,0.0021858,0.0016508
0.29047,0.001563,0.00078182,0.00217,0.0026871
0.29089,0.002197,0.001821,0.0023498,0.0021083
0.29131,0.00208,0.0016458,0.0011053,0.0019864
0.29173,0.00144,0.0015085,0.0020155,0.0029038
0.29215,0.000866,0.00081806,0.0012994,0.0020727
0.29257,0.002631,0.0010925,0.0028259,0.0025008
0.29298,0.000512,0.0012073,0.001648,0.0022417
0.2934,0.002516,0.0021265,0.00076597,0.0018667
0.29382,0.00191,0.0024268,0.00071483,0.0026364
0.29424,0.001763,0.00096255,0.0017177,0.0028955
0.29466,0.002112,0.00099241,0.0020448,0.0010879
0.29507,0.001792,0.00074125,0.00095643,0.0034394
0.29549,0.001346,0.0012755,0.0018896,0.0033765
0.29591,0.000858,0.0014921,0.0013002,0.0013811
0.29633,0.00216,0.0023336,0.0010752,0.0014242
0.29675,0.001632,0.002527,0.0015022,0.0021068
0.29716,0.001532,0.0014196,0.0022737,0.0027311
0.29758,0.001899,0.00073262,0.00257,0.0010477
0.298,0.002154,0.0010856,0.0013715,0.0026818
0.29842,0.001137,0.001846,0.0015767,0.0014636
0.29884,0.002069,0.0012867,0.0013018,0.0014636
0.29925,0.001161,0.00088798,0.00087088,0.0023599
0.29967,0.00209,0.001688,0.00083602,0.0024432
0.30009,0.001743,0.0023966,0.0011933,0.0017167
0.30051,0.001873,0.00086847,0.0015497,0.0021439
0.30093,0.001471,0.0017485,0.00083013,0.0017318
0.30134,0.000502,0.0015456,0.0014784,0.0011818
0.30176,0.002043,0.00071709,0.0011061,0.0020068
0.30218,0.001939,0.002218,0.0020939,0.00075152
0.3026,0.001381,0.0017234,0.0024551,0.0016076
0.30302,0.002113,0.0028851,0.0014198,0.0018977
0.30343,0.001858,0.00087072,0.0022389,0.0029462
0.30385,0.001659,0.00099362,0.002829,0.0023606
0.30427,0.001392,0.00090351,0.0022785,0.0020212
0.30469,0.000895,0.0017485,0.0014293,0.0026674
0.30511,0.001706,0.0018607,0.0017905,0.002347
0.30552,0.001836,0.0022447,0.0010673,0.002203
0.30594,0.000817,0.002029,0.0011885,0.00090152
0.30636,0.002482,0.0014904,0.001004,0.001847
0.30678,0.001019,0.00074212,0.0015751,0.00084242
0.3072,0.000551,0.0014947,0.0014254,0.0016356
0.30761,0.002105,0.002445,0.0017858,0.0012606
0.30803,0.000946,0.0020721,0.0022872,0.0022371
0.30845,0.001317,0.0009553,0.0014476,0.0019682
0.30887,0.002284,0.0017338,0.0015062,0.0013205
0.30929,0.000524,0.0018348,0.00087008,0.0023258
0.3097,0.001944,0.0021438,0.0014943,0.0017826
0.31012,0.000959,0.0016328,0.0024401,0.0024674
0.31054,0.000885,0.0014654,0.0016907,0.0021152
0.31096,0.001831,0.0016268,0.0018183,0.0021705
0.31138,0.001001,0.001739,0.00088196,0.0017621
0.31179,0.001305,0.000758,0.0012677,0.0023773
0.31221,0.002057,0.0016302,0.0014753,0.0019545
0.31263,0.001598,0.0016216,0.0018515,0.0023788
0.31305,0.00109,0.0023785,0.0012899,0.00083788
0.31347,0.001046,0.0024596,0.0019521,0.0026674
0.31388,0.001982,0.00090696,0.0021533,0.0010826
0.3143,0.001459,0.0014602,0.0017715,0.00084925
0.31472,0.001409,0.0011728,0.002429,0.0034689
0.31514,0.001333,0.0019642,0.0010321,0.0013818
0.31556,0.00012,0.0010364,0.0021866,0.0016159
0.31597,0.001635,0.00172,0.0010752,0.0017386
0.31639,0.001805,0.0028541,0.0011949,0.0010773
0.31681,0.001979,0.0016811,0.0019125,0.0021
0.31723,0.002715,0.0016872,0.001884,0.0020167
0.31765,0.000903,0.0017027,0.0017177,0.0020712
0.31806,0.001821,0.0011188,0.00085311,0.0017432
0.31848,0.001912,0.0016354,0.0013667,0.0014614
0.3189,0.001396,0.00097514,0.0014119,0.0017174
0.31932,0.001901,0.0020298,0.0011553,0.0016583
0.31974,0.001905,0.0016604,0.0010325,0.0030402
0.32162,0.001267,0.0013368,0.001145,0.0016083
0.32496,0.001339,0.0014964,0.0011109,0.0019295
0.3283,0.001753,0.0012971,0.0014119,0.0019152
0.33165,0.001442,0.0019332,0.0013541,0.0014864
0.33499,0.001102,0.0015103,0.0010198,0.0013629
0.33833,0.001499,0.0012772,0.0012725,0.0023242
0.34168,0.001634,0.00087676,0.00098811,0.0022394
0.34502,0.001647,0.0015327,0.0012139,0.0015386
0.34836,0.000613,0.001064,0.00082414,0.0016735
0.35191,0.000991,0.0010235,0.00094296,0.0017614
0.35546,0.001203,0.0014507,0.0017454,0.0018856
0.35901,0.001486,0.0013713,0.001358,0.0018902
0.36256,0.000225,0.0010451,0.0010871,0.0020303
0.36611,0.001359,0.0013074,0.0013351,0.0018659
0.36987,0.000635,0.0016699,0.0012757,0.0012061
0.37363,0.001099,0.0019694,0.0016527,0.0026318
0.37739,0.001577,0.001354,0.0019545,0.0026848
0.38115,0.000247,0.0011538,0.0013295,0.0024439
0.38491,0.001725,0.0013532,0.0020931,0.0018583
0.38867,0.000993,0.0018028,0.0010428,0.0022508
0.39263,0.001308,0.0015085,0.0012099,0.0020727
0.3966,0.001245,0.0010321,0.00071052,0.0013902
0.40056,7.90E-05,0.0012439,0.0016725,0.0015644
0.40453,0.000294,0.0013,0.0014111,0.0023106
0.4085,0.002123,0.0010722,0.0021074,0.0015068
0.41267,0.000998,0.00088884,0.0017913,0.0024758
0.41684,0.002566,0.001909,0.00096593,0.0012727
0.42102,0.000898,0.0018929,0.0016297,0.0020485
0.42519,0.00111,0.0017925,0.0019347,0.0016455
0.42936,0.000296,0.0021964,0.0021628,0.0032705
0.43375,0.000874,0.0011771,0.001964,0.0032386
0.43813,0.002614,0.0021671,0.002252,0.0010008
0.44251,0.000768,0.00084258,0.00093628,0.0023583
0.44689,0.002356,0.0024735,0.0054431,0.003
