q,30Ｃ,60 C,80 C,100C
0.0603,0.049845,0.05129,0.049771,0.045213
0.06072,0.047326,0.052857,0.050389,0.042049
0.06114,0.045616,0.050278,0.050398,0.040598
0.06156,0.044864,0.050242,0.05161,0.043135
0.06198,0.042505,0.049435,0.048262,0.041514
0.0624,0.043594,0.048624,0.048201,0.042542
0.06282,0.043459,0.048355,0.047353,0.041524
0.06323,0.03971,0.044714,0.047557,0.040094
0.06365,0.041088,0.045247,0.047843,0.038367
0.06407,0.040913,0.043016,0.044846,0.037487
0.06449,0.039761,0.046583,0.044259,0.036642
0.06491,0.03888,0.040533,0.045617,0.038167
0.06533,0.03931,0.039395,0.044209,0.037326
0.06575,0.038067,0.03992,0.04408,0.036213
0.06617,0.038472,0.039947,0.042759,0.037461
0.06658,0.035816,0.038333,0.041818,0.03781
0.067,0.037253,0.039821,0.040712,0.035941
0.06742,0.036628,0.038333,0.041792,0.035186
0.06784,0.034223,0.037258,0.038697,0.033593
0.06826,0.035147,0.035035,0.038056,0.034465
0.06868,0.032245,0.036188,0.03903,0.034753
0.0691,0.032744,0.033633,0.037663,0.034059
0.06952,0.034711,0.03398,0.034992,0.033701
0.06993,0.030647,0.035661,0.034822,0.033681
0.07035,0.032392,0.031119,0.033422,0.033456
0.07077,0.032078,0.032385,0.032268,0.033156
0.07119,0.031429,0.03375,0.030813,0.032158
0.07161,0.030874,0.032855,0.032307,0.032843
0.07203,0.030321,0.031867,0.032247,0.034205
0.07245,0.030112,0.030376,0.029691,0.031708
0.07287,0.0294,0.030567,0.029551,0.033105
0.07328,0.029639,0.030492,0.029758,0.032505
0.0737,0.030762,0.03109,0.027209,0.032804
0.07412,0.0294,0.030277,0.027014,0.031568
0.07454,0.030012,0.029515,0.02838,0.030576
0.07496,0.027089,0.029162,0.027508,0.032274
0.07538,0.028195,0.028022,0.027928,0.032457
0.0758,0.028031,0.027939,0.029141,0.030588
0.07622,0.028883,0.029168,0.02689,0.034072
0.07663,0.028886,0.027931,0.026764,0.032147
0.07705,0.027316,0.029191,0.02695,0.034471
0.07747,0.02909,0.028865,0.025883,0.032982
0.07789,0.028104,0.029453,0.026592,0.031927
0.07831,0.02737,0.029738,0.024886,0.033417
0.07873,0.027954,0.028981,0.026655,0.033865
0.07915,0.027944,0.026316,0.025824,0.035747
0.07957,0.027586,0.029147,0.02739,0.036078
0.07998,0.027392,0.027296,0.025521,0.038232
0.0804,0.028478,0.027138,0.025029,0.039477
0.08082,0.029069,0.026466,0.024938,0.043142
0.08124,0.029489,0.026968,0.025244,0.045986
0.08166,0.029214,0.028267,0.02473,0.048482
0.08208,0.028568,0.027963,0.024806,0.052944
0.0825,0.028795,0.02793,0.024553,0.057565
0.08291,0.028362,0.026964,0.023764,0.066398
0.08333,0.027772,0.026045,0.025662,0.070315
0.08375,0.026065,0.025739,0.022973,0.075202
0.08417,0.02561,0.025821,0.022549,0.07458
0.08459,0.02577,0.023779,0.022234,0.076747
0.08501,0.025307,0.024967,0.024366,0.068482
0.08543,0.026458,0.025292,0.023284,0.065065
0.08585,0.026391,0.025701,0.022463,0.059232
0.08626,0.027045,0.026105,0.022415,0.054171
0.08668,0.025148,0.02592,0.022516,0.047055
0.0871,0.025312,0.023261,0.022795,0.04437
0.08752,0.024848,0.023829,0.0219,0.039455
0.08794,0.025345,0.024329,0.023413,0.035772
0.08836,0.024124,0.023058,0.023047,0.033227
0.08878,0.023494,0.02368,0.021512,0.031364
0.0892,0.024394,0.022762,0.023051,0.032294
0.08961,0.023146,0.021566,0.021543,0.029354
0.09003,0.023373,0.021257,0.02123,0.027501
0.09045,0.020735,0.022921,0.022045,0.027356
0.09087,0.022614,0.023146,0.023999,0.025413
0.09129,0.021934,0.021877,0.02201,0.023626
0.09171,0.022637,0.021657,0.022588,0.024756
0.09213,0.022193,0.021417,0.022106,0.02503
0.09255,0.023047,0.020752,0.022129,0.024319
0.09296,0.020629,0.023886,0.022337,0.024172
0.09338,0.02093,0.020821,0.019766,0.022511
0.0938,0.021004,0.02144,0.022541,0.023342
