q_A^-1,I_q
0.0076225,0.330948
0.0081481,0.256708
0.0094624,0.190519
0.0102509,0.162791
0.0107766,0.124329
0.0120908,0.106440
0.0157706,0.094812
0.0189247,0.088551
0.0199761,0.099284
0.0210275,0.093023
0.0226045,0.097496
0.0239188,0.097496
0.0252330,0.093023
0.0273357,0.104651
0.0299642,0.101968
0.0323297,0.111807
0.0352210,0.117174
0.0378495,0.128801
0.0428435,0.146691
0.0530944,0.177996
0.0562485,0.185152
0.0586141,0.189624
0.0612425,0.188730
0.0638710,0.187835
0.0664994,0.184258
0.0691278,0.177102
0.0717563,0.171735
0.0743847,0.163685
0.0770131,0.151163
0.0793787,0.140429
0.0820072,0.134168
0.0846356,0.115385
0.0898925,0.104651
0.0925209,0.099284
0.0951493,0.092129
0.0975149,0.093023
0.1001434,0.082290
0.1027718,0.084079
0.1054002,0.073345
0.1106571,0.065295
0.1132855,0.058140
0.1156511,0.055456
0.1182796,0.058140
0.1209080,0.057245
0.1235364,0.053667
0.1261649,0.052773
0.1287933,0.049195
0.1337873,0.043828
0.1364158,0.042934
0.1443011,0.040250
0.1469295,0.033989
0.1492951,0.033095
0.1516607,0.029517
0.1569176,0.030411
0.1598088,0.031306
0.1619116,0.030411
0.1648029,0.027728
0.1695341,0.023256
0.1797849,0.024150
0.1824134,0.017889
0.1850418,0.025939
0.1871446,0.025939
0.1897730,0.024150
0.1924014,0.027728
0.1950299,0.023256
0.1973955,0.025939
0.2000239,0.022361
0.2026523,0.026834
0.2050179,0.025939
0.2073835,0.026834
0.2150060,0.026834
