Q,I_obs,err,I_fit,I_fit_over_I_obs
1.608726683749914536e-03,3.377807137376759670e+02,1.279218287413848465e+01,2.386354270970792584e+02,7.064803210831214209e-01
1.660631871481363072e-03,2.713470450268109175e+02,7.559454084875754987e+00,2.234419355114021641e+02,8.234544639663372578e-01
1.759861714213932938e-03,2.355508692572633436e+02,1.042305224423956567e+01,1.971379323954058123e+02,8.369229670729688708e-01
1.912149363681436886e-03,1.881109642227133065e+02,5.165908150954279243e+00,1.629830521022778669e+02,8.664197367534337557e-01
2.028626675082429581e-03,1.565840439338875285e+02,8.862979378560954302e+00,1.412114747377294748e+02,9.018254426827255754e-01
2.070033228428954340e-03,1.301980775219280133e+02,5.626328682334214015e+00,1.342617648300230826e+02,1.031211576894525583e+00
2.185198382459913307e-03,1.285094937125703041e+02,3.837501214528826310e+00,1.168524181368316732e+02,9.092901602911039882e-01
2.295401566914627520e-03,9.900294947827738667e+01,3.251235414100379195e+00,1.025480509328972403e+02,1.035808038783710083e+00
2.410882724418589394e-03,8.526410061151054265e+01,4.454588104760882850e+00,8.965265267670912408e+01,1.051470103287597935e+00
2.491554762408178247e-03,7.976651165240684804e+01,2.699890847671985838e+00,8.174740520948049038e+01,1.024833649059465612e+00
2.564270712874364578e-03,6.976256277927508620e+01,2.845909481024464061e+00,7.530105741282800125e+01,1.079390641812807416e+00
2.690243975063670145e-03,5.678870999553463861e+01,2.332405424137901306e+00,6.548557798270685737e+01,1.153144313154077061e+00
2.808753243102662771e-03,5.334470695519391370e+01,1.771479942573888966e+00,5.758611806727622451e+01,1.079509502519993669e+00
2.929624625046191918e-03,4.436405468198340429e+01,1.876121785298775047e+00,5.066685011685497386e+01,1.142069868952514389e+00
3.083374646050461663e-03,3.693679023276921214e+01,1.496202878184472507e+00,4.322617052789835412e+01,1.170274142812479434e+00
3.188396999187026546e-03,3.450128153993088631e+01,1.731021555842780391e+00,3.888929492990753545e+01,1.127184069522115584e+00
3.342703922838503785e-03,3.027937490980283641e+01,1.270697190555270861e+00,3.342608901658277176e+01,1.103922690483323032e+00
3.479584512124636077e-03,2.576051941827828173e+01,1.246277266037530973e+00,2.933175640135558382e+01,1.138632180706082409e+00
3.663338711021686765e-03,2.290023141235328197e+01,9.500963235992693212e-01,2.474912427277780580e+01,1.080736863620826105e+00
3.814171764191158151e-03,1.691621373965309871e+01,1.187881938353048117e+00,2.162152752933109312e+01,1.278154075261435318e+00
3.963039937061135082e-03,1.683465715120524564e+01,9.111082583490817122e-01,1.899316842843060726e+01,1.128218309279368281e+00
4.137725771273845221e-03,1.459983416169157877e+01,9.228022424429034309e-01,1.639294887514339294e+01,1.122817471321472693e+00
4.310886989258130159e-03,1.278075432946003964e+01,7.744832613285903555e-01,1.423184060714385524e+01,1.113536825783358886e+00
4.521645323762290766e-03,1.151321238436739236e+01,7.679232628914657299e-01,1.205522592647473346e+01,1.047077524848172292e+00
4.725105215184107789e-03,9.350821029609519996e+00,6.739715736553242298e-01,1.033381212091817503e+01,1.105123506074600082e+00
4.924092364723929582e-03,8.193249043982145707e+00,6.533562321619239555e-01,8.935201730475208493e+00,1.090556589029600953e+00
