sample,mean_k,r_sigma_k,k_H_over_k,b,stretch_ratio,scale,rms_relative
55A_R0,0.01891674878605797,0.2078183358573809,0.05914019946989625,0.10860696017772523,1.1935191971188952,59.45262028809252,0.7784039266276184
55B_R0,0.03194643619097242,0.21550428180302186,0.08815976392244948,-0.7401460694982984,1.276469789019107,42.204526998156474,0.11552370395077549
55C_R0,0.056523592539674976,0.25588188665074035,0.053693455720446294,-1.737576582547059,1.266946993102093,30.478496150386015,0.08833682701651195
