Q,I,err,count
8.148100000000000134e-03,4.642220000000000235e-01,1.392666000000000043e-02,1.000000000000000000e+00
8.673800000000000607e-03,3.953490000000000060e-01,1.186046999999999969e-02,1.000000000000000000e+00
9.462399999999999284e-03,3.461540000000000172e-01,1.038462000000000066e-02,1.000000000000000000e+00
1.025090000000000029e-02,3.103759999999999852e-01,9.311279999999999904e-03,1.000000000000000000e+00
1.077660000000000076e-02,2.647579999999999933e-01,7.942740000000000217e-03,1.000000000000000000e+00
1.209080000000000051e-02,2.459749999999999992e-01,7.379249999999999525e-03,1.000000000000000000e+00
1.287929999999999978e-02,2.415029999999999955e-01,7.245089999999999170e-03,1.000000000000000000e+00
1.419349999999999952e-02,2.191410000000000025e-01,6.574229999999999484e-03,1.000000000000000000e+00
1.524490000000000046e-02,2.191410000000000025e-01,6.574229999999999484e-03,1.000000000000000000e+00
1.708480000000000068e-02,2.182469999999999966e-01,6.547410000000000035e-03,1.000000000000000000e+00
1.866189999999999863e-02,2.039360000000000062e-01,6.118079999999999699e-03,1.000000000000000000e+00
2.023890000000000064e-02,2.030409999999999993e-01,6.091229999999999561e-03,1.000000000000000000e+00
2.102750000000000105e-02,2.030409999999999993e-01,6.091229999999999561e-03,1.000000000000000000e+00
2.234169999999999906e-02,1.887300000000000089e-01,5.661900000000000092e-03,1.000000000000000000e+00
2.444440000000000154e-02,1.833629999999999982e-01,5.500889999999999599e-03,1.000000000000000000e+00
2.523299999999999849e-02,1.833629999999999982e-01,5.500889999999999599e-03,1.000000000000000000e+00
2.733570000000000097e-02,1.806800000000000073e-01,5.420399999999999698e-03,1.000000000000000000e+00
3.232970000000000288e-02,1.699460000000000137e-01,5.098380000000000446e-03,1.000000000000000000e+00
3.495820000000000177e-02,1.672629999999999950e-01,5.017889999999999677e-03,1.000000000000000000e+00
3.784950000000000120e-02,1.672629999999999950e-01,5.017889999999999677e-03,1.000000000000000000e+00
