Q,I,err,count
7.622499999999999935e-03,3.923356421402101613e-01,9.928440000000000182e-03,1.000000000000000000e+00
8.148100000000000134e-03,3.180956421402101331e-01,7.701239999999999822e-03,1.000000000000000000e+00
9.462399999999999284e-03,2.519066421402101352e-01,5.715569999999999679e-03,1.000000000000000000e+00
1.025090000000000029e-02,2.241786421402101326e-01,4.883729999999999322e-03,1.000000000000000000e+00
1.077660000000000076e-02,1.857166421402101364e-01,3.729869999999999713e-03,1.000000000000000000e+00
1.209080000000000051e-02,1.678276421402101481e-01,3.193200000000000205e-03,1.000000000000000000e+00
1.577059999999999920e-02,1.561996421402101487e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.892469999999999916e-02,1.499386421402101599e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.997610000000000011e-02,1.606716421402101524e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.102750000000000105e-02,1.544106421402101359e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.260449999999999959e-02,1.588836421402101406e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.391880000000000048e-02,1.588836421402101406e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.523299999999999849e-02,1.544106421402101359e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.733570000000000097e-02,1.660386421402101353e-01,3.139529999999999751e-03,1.000000000000000000e+00
2.996419999999999986e-02,1.633556421402101444e-01,3.059039999999999850e-03,1.000000000000000000e+00
3.232970000000000288e-02,1.731946421402101588e-01,3.354209999999999831e-03,1.000000000000000000e+00
3.522100000000000231e-02,1.785616421402101417e-01,3.515219999999999890e-03,1.000000000000000000e+00
3.784950000000000120e-02,1.901886421402101401e-01,3.864029999999999635e-03,1.000000000000000000e+00
4.284349999999999964e-02,2.080786421402101294e-01,4.400729999999999399e-03,1.000000000000000000e+00
5.309439999999999993e-02,2.393836421402101289e-01,5.339879999999999106e-03,1.000000000000000000e+00
5.624849999999999989e-02,2.465396421402101523e-01,5.554560000000000053e-03,1.000000000000000000e+00
5.861410000000000231e-02,2.510116421402101561e-01,5.688719999999999541e-03,1.000000000000000000e+00
6.124249999999999833e-02,2.501176421402101502e-01,5.661900000000000092e-03,1.000000000000000000e+00
6.387099999999999722e-02,2.492226421402101433e-01,5.635049999999999955e-03,1.000000000000000000e+00
6.649940000000000018e-02,2.456456421402101464e-01,5.527739999999999737e-03,1.000000000000000000e+00
6.912780000000000313e-02,2.384896421402101507e-01,5.313059999999999658e-03,1.000000000000000000e+00
7.175629999999999509e-02,2.331226421402101401e-01,5.152050000000000032e-03,1.000000000000000000e+00
7.438469999999999804e-02,2.250726421402101385e-01,4.910549999999999637e-03,1.000000000000000000e+00
7.701310000000000100e-02,2.125506421402101331e-01,4.534889999999999755e-03,1.000000000000000000e+00
7.937869999999999648e-02,2.018166421402101396e-01,4.212869999999999636e-03,1.000000000000000000e+00
8.200720000000000232e-02,1.955556421402101508e-01,4.025040000000000562e-03,1.000000000000000000e+00
8.463560000000000527e-02,1.767726421402101566e-01,3.461549999999999870e-03,1.000000000000000000e+00
8.989250000000000018e-02,1.660386421402101353e-01,3.139529999999999751e-03,1.000000000000000000e+00
9.252090000000000314e-02,1.606716421402101524e-01,3.000000000000000062e-03,1.000000000000000000e+00
9.514930000000000609e-02,1.535166421402101578e-01,3.000000000000000062e-03,1.000000000000000000e+00
9.751490000000000158e-02,1.544106421402101359e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.001433999999999935e-01,1.436776421402101434e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.027717999999999965e-01,1.454666421402101562e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.054001999999999994e-01,1.347326421402101349e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.106570999999999944e-01,1.266826421402101610e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.132854999999999973e-01,1.195276421402101386e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.156511000000000067e-01,1.168436421402101466e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.182795999999999986e-01,1.195276421402101386e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.209080000000000016e-01,1.186326421402101455e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.235364000000000045e-01,1.150546421402101477e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.261648999999999965e-01,1.141606421402101557e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.287932999999999995e-01,1.105826421402101578e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.337872999999999979e-01,1.052156421402101472e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.364158000000000037e-01,1.043216421402101413e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.443010999999999877e-01,1.016376421402101493e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.469294999999999907e-01,9.537664214021014664e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.492950999999999862e-01,9.448264214021015461e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.516607000000000094e-01,9.090464214021015676e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.569175999999999904e-01,9.179864214021014879e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.598088000000000009e-01,9.269364214021014181e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.619115999999999889e-01,9.179864214021014879e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.648029000000000022e-01,8.911564214021014396e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.695340999999999931e-01,8.464364214021014021e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.797848999999999975e-01,8.553764214021014611e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.824134000000000033e-01,7.927664214021014344e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.850418000000000063e-01,8.732664214021014504e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.871445999999999943e-01,8.732664214021014504e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.897729999999999972e-01,8.553764214021014611e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.924014000000000002e-01,8.911564214021014396e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.950299000000000060e-01,8.464364214021014021e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.973955000000000015e-01,8.732664214021014504e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.000239000000000045e-01,8.374864214021014719e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.026523000000000074e-01,8.822164214021015194e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.050179000000000029e-01,8.732664214021014504e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.073834999999999984e-01,8.822164214021015194e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.150060000000000027e-01,8.822164214021015194e-02,3.000000000000000062e-03,1.000000000000000000e+00
