name,value
scale,13.138245125216535
mean_k,0.03908329838637932
r_sigma_k,0.2640287514349606
k_H_over_k,0.35676638624617857
b,-1.7960218584037881
k_H,0.013961057886565216
p_H,0.9637544796313188
sigma_H_squared,0.03493178262188474
alpha_H,0.00025569790385989523
kappa_H,0.007319921420205468
rho0,0.00017437099053800934
highq_coefficient,0.006936300143884872
skewness,1.3170868190899694
