Q,I_obs,err,I_fit,I_fit_over_I_obs
8.148100000000000134e-03,5.308063344204143608e-01,1.392666000000000043e-02,5.283440964225406544e-01,9.953613251421307151e-01
8.673800000000000607e-03,4.619333344204143432e-01,1.186046999999999969e-02,4.708914292501896193e-01,1.019392613960226512e+00
9.462399999999999284e-03,4.127383344204143545e-01,1.038462000000000066e-02,4.081055505138009853e-01,9.887754940109477753e-01
1.025090000000000029e-02,3.769603344204143225e-01,9.311279999999999904e-03,3.646522561033026522e-01,9.673491420893509662e-01
1.077660000000000076e-02,3.313423344204143306e-01,7.942740000000000217e-03,3.430380641327560043e-01,1.035298024119978288e+00
1.209080000000000051e-02,3.125593344204143365e-01,7.379249999999999525e-03,3.055777368806419370e-01,9.776631289776754885e-01
1.287929999999999978e-02,3.080873344204143049e-01,7.245089999999999170e-03,2.907687766794627149e-01,9.437868558487420012e-01
1.419349999999999952e-02,2.857253344204143120e-01,6.574229999999999484e-03,2.736048208689227379e-01,9.575798429772505171e-01
1.524490000000000046e-02,2.857253344204143120e-01,6.574229999999999484e-03,2.643902138868275964e-01,9.253299656578777288e-01
1.708480000000000068e-02,2.848313344204143061e-01,6.547410000000000035e-03,2.538018153381598196e-01,8.910600227836781295e-01
1.866189999999999863e-02,2.705203344204143434e-01,6.118079999999999699e-03,2.481289892471986169e-01,9.172286060447587541e-01
2.023890000000000064e-02,2.696253344204143088e-01,6.091229999999999561e-03,2.443509197896132912e-01,9.062609799441480041e-01
2.102750000000000105e-02,2.696253344204143088e-01,6.091229999999999561e-03,2.416046396161022347e-01,8.960754379237201306e-01
2.234169999999999906e-02,2.553143344204143461e-01,5.661900000000000092e-03,2.387073270791251756e-01,9.349546613628705316e-01
2.444440000000000154e-02,2.499473344204143355e-01,5.500889999999999599e-03,2.370940042451864516e-01,9.485758461676233599e-01
2.523299999999999849e-02,2.499473344204143355e-01,5.500889999999999599e-03,2.372739198683252726e-01,9.492956602978920300e-01
2.733570000000000097e-02,2.472643344204143445e-01,5.420399999999999698e-03,2.368686055834034188e-01,9.579570225468285738e-01
3.232970000000000288e-02,2.365303344204143232e-01,5.098380000000000446e-03,2.350747764704572140e-01,9.938462102396982134e-01
3.495820000000000177e-02,2.338473344204143323e-01,5.017889999999999677e-03,2.350290717160815890e-01,1.005053456344055185e+00
3.784950000000000120e-02,2.338473344204143323e-01,5.017889999999999677e-03,2.351314062083089684e-01,1.005491068739685190e+00
4.021509999999999668e-02,2.284803344204143216e-01,4.856880000000000051e-03,2.355588659487790060e-01,1.030980922477729989e+00
4.284349999999999964e-02,2.275863344204143157e-01,4.830059999999999736e-03,2.361813740324880950e-01,1.037766061982422938e+00
4.547190000000000260e-02,2.311643344204143413e-01,4.937399999999999775e-03,2.367349840050569088e-01,1.024098222585285711e+00
4.810040000000000149e-02,2.275863344204143157e-01,4.830059999999999736e-03,2.362354018675238143e-01,1.038003456882135467e+00
5.099159999999999804e-02,2.302693344204143067e-01,4.910549999999999637e-03,2.359332087013008283e-01,1.024596737099807253e+00
5.362009999999999693e-02,2.275863344204143157e-01,4.830059999999999736e-03,2.358619020999097315e-01,1.036362322459169150e+00
5.598569999999999935e-02,2.266913344204143366e-01,4.803209999999999598e-03,2.331961507342871220e-01,1.028694596246935378e+00
5.861410000000000231e-02,2.275863344204143157e-01,4.830059999999999736e-03,2.319072478642096591e-01,1.018985821160129257e+00
6.097969999999999779e-02,2.266913344204143366e-01,4.803209999999999598e-03,2.303586841138908214e-01,1.016177723347267969e+00
6.387099999999999722e-02,2.266913344204143366e-01,4.803209999999999598e-03,2.280092534247013802e-01,1.005813715851364920e+00
6.649940000000000018e-02,2.249023344204142960e-01,4.749539999999999144e-03,2.248314910670552169e-01,9.996850039216282902e-01
6.912780000000000313e-02,2.204303344204143200e-01,4.615380000000000524e-03,2.195741908204450754e-01,9.961160354711598997e-01
7.175629999999999509e-02,2.168523344204143499e-01,4.508040000000000484e-03,2.148824562891426537e-01,9.909160390800650919e-01
7.438469999999999804e-02,2.096973344204143275e-01,4.293389999999999360e-03,2.089863003870103819e-01,9.966092366630735500e-01
