name,value_1,value_2,background,relative_rmse
subtracted_background,0.027776221651129925,nan,nan,nan
peak_position,0.0502042399057883,0.22640806136934372,nan,nan
lowQ_DAB,0.001216676248682924,2.787405423251548e-09,0.0,0.17659841452023992
lowQ_Qminus4,1.6650811948283777e-09,nan,0.0,0.297555931541346
highQ_line,0.011520900693597024,0.0036672165885136237,0.0,0.011539644277510962
