Q,I,err,count
1.809999999999999977e-03,1.892061686018618616e+01,4.059709999999999930e+00,1.000000000000000000e+00
1.959999999999999937e-03,1.335151686018618555e+01,3.283069999999999933e+00,1.000000000000000000e+00
2.099999999999999870e-03,1.232971686018618485e+01,2.958159999999999901e+00,1.000000000000000000e+00
2.249999999999999830e-03,3.480806860186184348e+00,2.342270000000000074e+00,1.000000000000000000e+00
2.390000000000000197e-03,5.849786860186184434e+00,2.174440000000000150e+00,1.000000000000000000e+00
2.540000000000000157e-03,7.490036860186184420e+00,1.801509999999999945e+00,1.000000000000000000e+00
2.690000000000000117e-03,4.353846860186184387e+00,1.670639999999999903e+00,1.000000000000000000e+00
2.830000000000000050e-03,1.628616860186184567e+00,1.504000000000000004e+00,1.000000000000000000e+00
2.980000000000000010e-03,2.551726860186184442e+00,1.375450000000000061e+00,1.000000000000000000e+00
3.119999999999999944e-03,3.233816860186184527e+00,1.288659999999999917e+00,1.000000000000000000e+00
3.269999999999999903e-03,2.615796860186184514e+00,1.206169999999999964e+00,1.000000000000000000e+00
3.409999999999999837e-03,1.266546860186184675e+00,1.114419999999999966e+00,1.000000000000000000e+00
3.559999999999999797e-03,7.602068601861846631e-01,1.030839999999999979e+00,1.000000000000000000e+00
3.710000000000000190e-03,1.161326860186184584e+00,1.020280000000000076e+00,1.000000000000000000e+00
3.850000000000000124e-03,1.508286860186184741e+00,9.269500000000000517e-01,1.000000000000000000e+00
4.000000000000000083e-03,1.104796860186184615e+00,8.759900000000000464e-01,1.000000000000000000e+00
4.139999999999999583e-03,1.352716860186184755e+00,8.191000000000000503e-01,1.000000000000000000e+00
4.290000000000000410e-03,9.348268601861846605e-01,8.004200000000000204e-01,1.000000000000000000e+00
4.429999999999999910e-03,6.151668601861846053e-01,7.353399999999999936e-01,1.000000000000000000e+00
4.579999999999999870e-03,-1.219531398138153783e-01,7.100899999999999990e-01,1.000000000000000000e+00
4.729999999999999830e-03,4.414068601861845798e-01,6.573200000000000154e-01,1.000000000000000000e+00
4.870000000000000197e-03,7.148768601861846816e-01,6.337699999999999445e-01,1.000000000000000000e+00
5.020000000000000157e-03,4.516568601861846721e-01,6.053699999999999637e-01,1.000000000000000000e+00
5.159999999999999656e-03,-8.259313981381538605e-02,5.888799999999999590e-01,1.000000000000000000e+00
5.309999999999999616e-03,4.356686018618462219e-02,5.518499999999999517e-01,1.000000000000000000e+00
5.449999999999999983e-03,-8.764313981381538499e-02,5.533500000000000085e-01,1.000000000000000000e+00
5.599999999999999943e-03,1.005768601861846134e-01,5.218500000000000361e-01,1.000000000000000000e+00
5.749999999999999903e-03,4.559368601861846226e-01,5.136600000000000055e-01,1.000000000000000000e+00
5.890000000000000270e-03,4.020068601861845892e-01,5.121599999999999486e-01,1.000000000000000000e+00
6.040000000000000230e-03,4.112768601861845896e-01,4.770199999999999996e-01,1.000000000000000000e+00
6.179999999999999730e-03,-5.613313981381538170e-02,4.848700000000000232e-01,1.000000000000000000e+00
6.329999999999999689e-03,6.196268601861846248e-01,4.725400000000000156e-01,1.000000000000000000e+00
6.470000000000000057e-03,1.101068601861846241e-01,4.602800000000000225e-01,1.000000000000000000e+00
6.620000000000000016e-03,1.912968601861846085e-01,4.472800000000000109e-01,1.000000000000000000e+00
6.769999999999999976e-03,2.727368601861845931e-01,4.437400000000000233e-01,1.000000000000000000e+00
6.910000000000000343e-03,2.498268601861846350e-01,4.428699999999999859e-01,1.000000000000000000e+00
7.060000000000000303e-03,2.923368601861846550e-01,4.374700000000000255e-01,1.000000000000000000e+00
7.199999999999999803e-03,3.675268601861846340e-01,4.222799999999999887e-01,1.000000000000000000e+00
7.349999999999999763e-03,2.119686018618462120e-02,4.250999999999999779e-01,1.000000000000000000e+00
7.499999999999999722e-03,4.295468601861845981e-01,4.093899999999999761e-01,1.000000000000000000e+00
7.640000000000000090e-03,-2.795313981381538151e-02,4.179700000000000082e-01,1.000000000000000000e+00
7.790000000000000049e-03,3.727868601861845654e-01,4.065199999999999925e-01,1.000000000000000000e+00
7.929999999999999549e-03,7.463686018618462259e-02,4.052899999999999836e-01,1.000000000000000000e+00
8.009999999999999759e-03,2.246368601861846448e-01,3.185999999999999943e-02,1.000000000000000000e+00
8.810000000000000123e-03,1.516468601861846177e-01,2.401000000000000009e-02,1.000000000000000000e+00
9.610000000000000486e-03,1.216568601861846288e-01,1.813999999999999987e-02,1.000000000000000000e+00
1.041000000000000085e-02,8.802686018618460784e-02,1.490000000000000005e-02,1.000000000000000000e+00
1.120999999999999948e-02,7.538686018618462326e-02,1.323000000000000044e-02,1.000000000000000000e+00
1.200999999999999984e-02,6.045686018618462443e-02,1.128999999999999969e-02,1.000000000000000000e+00
1.281000000000000021e-02,6.939686018618461405e-02,1.050000000000000065e-02,1.000000000000000000e+00
1.361000000000000057e-02,7.490686018618461506e-02,9.339999999999999344e-03,1.000000000000000000e+00
1.440999999999999920e-02,6.478686018618462494e-02,9.010000000000000647e-03,1.000000000000000000e+00
1.520999999999999956e-02,7.363686018618462170e-02,8.279999999999999166e-03,1.000000000000000000e+00
1.600999999999999993e-02,6.168686018618461941e-02,8.070000000000000784e-03,1.000000000000000000e+00
1.680999999999999855e-02,5.778686018618461873e-02,7.779999999999999589e-03,1.000000000000000000e+00
1.761000000000000065e-02,6.752686018618461739e-02,7.729999999999999892e-03,1.000000000000000000e+00
1.840999999999999928e-02,6.442686018618461186e-02,7.400000000000000328e-03,1.000000000000000000e+00
